id,FT_mean
7417,NA
7418,46.25
7419,43.25
7424,35.5
7427,91.5
7430,42.25
7460,37
7461,48.75
7471,34
7475,NA
7477,52.25
7514,57.33333333
7515,73.5
7516,117
7517,113.75
7520,48.75
7521,54
7523,68.75
7525,41.75
7529,NA
7530,NA
7566,NA
7568,NA
7717,76.25
7757,NA
7767,NA
7917,68.75
7947,81.5
8037,NA
8057,NA
8077,57.75
8132,67.33333333
8171,NA
8214,54.5
8222,93.25
8227,NA
8230,103
8231,108.6666667
8233,69.25
8234,92.75
8235,68.75
8236,64.66666667
8237,98.75
8238,52.25
8239,42.5
8240,83
8241,66.25
8242,132
8243,68.25
8244,58.5
8246,76.5
8247,94.66666667
8249,88
8256,45.25
8258,NA
8259,65.5
8264,63.5
8283,82.66666667
8284,76
8285,51.66666667
8290,44.25
8297,79
8306,95
8307,64.25
8311,59.25
8312,52
8326,58
8334,54
8335,92.25
8337,72.5
8343,59.75
8351,97.5
8354,58.75
8357,55.5
8365,39.5
8366,62.75
8369,94.66666667
8376,104
8386,49
8387,48.33333333
8419,58.75
8420,47.5
8422,116.25
8424,80
8426,40.25
8427,NA
8464,NA
8483,NA
8699,NA
8723,NA
9027,NA
9057,67.5
9058,123
9067,130
9069,90.75
9070,88.5
9075,98.25
9078,104.25
9079,102
9081,99.66666667
9084,114.25
9085,101
9089,125.5
9091,97.5
9095,113.3333333
9099,112.6666667
9100,74
9102,80.75
9103,82.75
9104,60
9105,78.75
9106,87.5
9111,89.25
9113,70.25
9114,100.5
9115,71.75
9121,102
9125,69.25
9128,61
9130,63.25
9131,63.5
9133,68
9134,64.5
9298,45.5
9312,57.5
9314,60
9321,140
9323,80.75
9332,129
9336,66.75
9339,116.5
9343,88
9352,134.3333333
9353,134
9363,NA
9369,71.25
9370,NA
9371,145
9380,98.25
9381,NA
9382,110.6666667
9383,103
9386,107.75
9388,137
9390,55
9391,64.5
9392,59
9394,110.5
9395,118.25
9399,91
9402,78.75
9404,78.75
9405,95.5
9407,75
9408,124
9409,119.25
9412,64
9413,75
9416,129
9421,103
9427,119.5
9433,137
9436,77.5
9437,90
9442,113.25
9450,78.5
9451,113.6666667
9452,103
9453,129.5
9454,138
9455,102.75
9470,90.5
9471,NA
9476,126.3333333
9481,121
9503,53.5
9506,69
9507,46.66666667
9508,60.66666667
9509,59
9510,55.75
9511,55
9512,40.25
9513,63.33333333
9514,83.33333333
9515,51.25
9517,35.75
9518,87.5
9519,64.5
9520,120.5
9521,68
9522,60.33333333
9523,84.66666667
9524,99.66666667
9525,81.25
9526,56.33333333
9527,76.5
9528,89.5
9529,63
9530,123
9531,92
9532,108.6666667
9533,79
9534,65.66666667
9535,89
9536,103
9537,56
9539,91.25
9540,88.25
9541,61.5
9542,107.25
9543,89.66666667
9544,53.5
9545,101
9546,NA
9547,70
9548,NA
9549,106.6666667
9550,132
9551,123
9552,NA
9553,106
9554,104.25
9555,100
9556,65
9557,112
9558,114.6666667
9559,66.5
9560,53.75
9561,92
9562,83.5
9564,NA
9565,72.33333333
9567,103.5
9568,109.5
9569,96.5
9571,35.25
9573,60
9574,NA
9576,106.5
9577,123.5
9578,59.25
9579,79.25
9581,118.5
9582,93.75
9583,89.5
9584,85.5
9585,32
9586,NA
9587,101.75
9588,79.33333333
9589,77.33333333
9590,50.5
9591,46
9592,100
9593,109
9594,110.6666667
9595,66.75
9596,61
9597,60.66666667
9598,91
9599,90.25
9600,73
9601,77
9602,75.33333333
9606,41
9607,107.6666667
9608,45.25
9609,51
9610,69.5
9611,68
9612,71.5
9613,71.66666667
9615,86
9616,110.75
9617,66
9619,83
9620,74.33333333
9621,90.5
9622,81.66666667
9624,74.33333333
9625,101.5
9626,70.25
9627,88.25
9628,69.25
9629,74.66666667
9630,79.5
9631,140
9632,90.33333333
9633,77
9634,98
9635,84.66666667
9636,141
9637,82.5
9638,87.66666667
9639,73.25
9640,80.75
9641,87.66666667
9642,86
9643,79
9644,69
9645,66.25
9646,55.25
9647,55
9648,61
9649,67.25
9651,49.66666667
9653,52.5
9655,71.66666667
9656,89
9657,48
9658,66.5
9659,66.66666667
9660,40
9661,42
9663,69.33333333
9664,109.6666667
9665,86.66666667
9666,112
9667,107
9668,79.5
9669,86
9670,112.5
9671,95
9672,90.5
9673,99.66666667
9676,89
9677,110.5
9678,87
9679,79.75
9680,59.33333333
9681,92.25
9682,74.75
9683,71.75
9684,89.5
9685,89.75
9686,88
9687,83.33333333
9689,83
9690,81.66666667
9691,72.75
9692,70.75
9693,75
9694,74.25
9695,84.5
9696,76.75
9697,63
9698,74.5
9699,63.66666667
9700,81
9701,82
9703,69.75
9704,70.33333333
9705,67
9706,78.66666667
9707,72.75
9708,85
9709,73.5
9710,83.25
9711,82.5
9712,78
9713,68.33333333
9714,82.33333333
9716,122
9717,93.33333333
9718,79
9719,57.75
9720,104
9721,78
9722,108
9723,68.5
9725,56.5
9726,56.5
9727,43.5
9728,77.75
9729,79
9730,97
9731,66
9732,88.25
9733,83.75
9735,74
9736,81
9737,63.66666667
9738,73.75
9739,68.5
9741,71.5
9743,75
9744,63.33333333
9745,76
9747,94.66666667
9748,86.25
9749,63.75
9754,NA
9755,82
9756,73
9757,93
9758,73
9759,58.5
9761,58
9762,72.75
9764,62.75
9766,39.5
9768,54.66666667
9769,44.66666667
9770,44.75
9771,44.25
9772,40.75
9774,43
9775,44.25
9776,57.5
9777,43.5
9778,49.25
9779,44.66666667
9780,45.75
9781,41.66666667
9782,44.5
9783,66.33333333
9784,43.5
9785,45.25
9786,40.25
9787,49.33333333
9788,38.33333333
9789,42.25
9790,41.75
9791,38.33333333
9792,42.75
9793,63.33333333
9794,44.5
9795,38.25
9796,46
9797,46.5
9798,44.66666667
9799,50.5
9800,42.5
9801,36.33333333
9802,42.75
9803,41.25
9804,45.75
9805,53
9806,43
9807,43
9808,53
9809,51.25
9810,42.25
9811,45
9812,45.75
9813,45.5
9814,48.33333333
9815,48
9816,39
9817,63.75
9819,98.5
9820,55.75
9821,72.25
9822,62.33333333
9823,42
9824,143
9825,63.5
9826,73
9827,60
9828,78.75
9830,51.25
9831,88.25
9832,90.33333333
9833,65.66666667
9834,63.75
9835,69.75
9836,128.5
9837,64.25
9838,67
9839,115
9840,120.5
9841,68
9843,58.66666667
9844,84.25
9845,65
9846,119.6666667
9847,45
9848,98
9849,99.66666667
9850,83
9851,144
9852,67.33333333
9853,35.5
9854,40.66666667
9855,61.66666667
9856,63.5
9857,66.5
9858,123.5
9859,83
9860,64.33333333
9861,114.5
9862,53.75
9864,57.25
9866,118
9867,101.6666667
9868,68.66666667
9869,80.75
9870,111
9871,117.6666667
9873,55.66666667
9874,56.25
9875,44.75
9876,74.75
9877,NA
9878,116
9879,59.5
9880,87.5
9881,78.5
9882,70.33333333
9883,41.75
9885,119
9886,57
9887,90.75
9888,96.66666667
9890,94.33333333
9891,NA
9892,84.5
9894,76.66666667
9895,71
9897,81.5
9898,97.25
9899,58
9900,50
9901,102.5
9902,110.3333333
9903,108.75
9904,114.6666667
9905,95
9906,80
9908,46.5
9909,57
9910,43.5
9911,44.5
9912,39
9914,55.25
9915,75.5
9917,54.25
9918,90
9920,48.66666667
9921,48.25
9924,57
9925,79
9926,44.33333333
9927,73.25
9928,77
9929,88
9930,68.66666667
9932,76
9933,49
9935,73.75
9937,47.75
9938,74
9939,60.75
9941,42.5
9942,110.6666667
9943,61.5
9944,68
9945,110
9946,54.5
9947,125
9948,NA
9949,61.5
9950,86.25
9951,109.6666667
9952,104.3333333
9953,93.25
9955,73
9956,61
9957,85
9958,76.5
9959,78.75
9960,66.66666667
9962,71.75
9963,66.66666667
9964,64.5
9965,56
9966,80
9968,57.75
9969,69.25
9970,81.75
9971,61
9972,58.75
9973,110
9974,93.5
9975,82.33333333
9976,72.5
9978,94.5
9979,68.5
9980,60.5
9981,55.5
9982,79.25
9983,58.5
9984,56
9985,63.5
9986,86
9987,82.25
9988,112.3333333
9990,75
9991,92.75
9993,119.6666667
9995,41.75
9996,38.25
9997,51.5
9998,46.25
9999,54.25
10001,49.5
10002,42.5
10004,79
10005,67.25
10006,131.5
10008,73
10009,77.75
10010,75.25
10011,65.25
10012,105.6666667
10013,100
10014,132
10015,51.25
10017,76.5
10018,81.33333333
10020,48
10022,45.25
10023,90
10027,NA
14312,NA
14313,NA
14314,NA
14315,NA
14318,NA
14319,NA
15560,NA
15591,NA
15592,NA
15593,NA
18694,NA
18696,NA
19949,NA
19950,NA
19951,NA
